,Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,E09000001,City of London,3.076923076923077,2.986217457886677,2.6745913818722142,2.5210084033613445,2.73972602739726,2.371794871794872,2.684563758389262,2.649456521739131,2.197149643705463,2.186421173762946,1.9707207207207207,1.8771331058020477,1.6811279826464207,1.693121693121693,1.5822784810126582,1.557632398753894,1.646090534979424
2,E09000002,Barking and Dagenham,0.6726457399103138,0.5772005772005773,0.6382978723404256,0.5610098176718092,0.5471956224350205,0.54421768707483,0.4,0.39473684210526316,0.31565656565656564,0.3056234718826406,0.3097893432465923,0.35842293906810035,0.2296211251435132,0.2296211251435132,0.281214848143982,0.2145922746781116,0.2109704641350211
3,E09000003,Barnet,2.033132530120482,1.9708029197080292,1.8518518518518519,1.6759776536312851,1.686909581646424,1.5852047556142668,1.4575411913814955,1.440576230492197,1.3048635824436536,1.1404561824729893,1.1255924170616114,1.0969976905311778,0.9637188208616779,0.9900990099009901,1.0171306209850106,1.0482180293501047,0.8281573498964804
4,E09000004,Bexley,1.4393939393939394,1.3970588235294117,1.3728323699421965,1.4124293785310735,1.4246947082767978,1.383399209486166,1.33248730964467,1.2650602409638554,1.0613207547169812,1.1390887290167866,1.1150234741784038,1.0770975056689343,1.0579064587973275,0.9209100758396533,0.9574468085106383,0.9483667017913593,0.981404958677686
5,E09000005,Brent,1.7569546120058566,1.6405135520684737,1.4705882352941175,1.4502762430939224,1.4150943396226414,1.3333333333333333,1.2179487179487178,1.2254901960784315,1.1473429951690821,1.0909090909090908,1.1377245508982037,1.0538641686182668,0.9792626728110599,0.8455467869222096,0.9269356597600872,0.8012820512820513,0.7337526205450733
6,E09000006,Bromley,2.021772939346812,2.027027027027027,1.9061583577712609,1.7167381974248925,1.7217630853994492,1.60857908847185,1.556420233463035,1.5489467162329615,1.513317191283293,1.4024390243902438,1.2605042016806722,1.2266355140186918,1.1428571428571428,1.109877913429523,1.1904761904761905,1.0615711252653928,0.9926854754440961
7,E09000007,Camden,4.319180087847731,4.073033707865168,3.867403314917127,3.658536585365854,3.562005277044855,3.428201811125485,3.379224030037547,3.143893591293833,3.231492361927145,3.077816492450639,2.9276693455797935,3.00794551645857,2.749719416386083,2.5824175824175826,2.440347071583514,2.398720682302772,2.4479166666666665
8,E09000008,Croydon,2.3504273504273505,2.5,2.1621621621621623,2.0077720207253886,1.9035532994923858,1.5587529976019183,1.5169902912621358,1.5439429928741093,1.3218390804597702,1.2309495896834701,1.2082853855005753,1.1273957158962795,1.045104510451045,0.9719222462203024,1.0095642933049946,0.9384775808133472,0.8753861997940269
9,E09000009,Ealing,2.0953757225433525,2.109704641350211,1.8672199170124482,1.7029972752043596,1.5915119363395225,1.5768725361366625,1.5170670037926677,1.3872135102533172,1.242603550295858,1.1216056670602126,1.1668611435239207,1.1441647597254003,1.122334455667789,1.1025358324145533,1.232583065380493,1.0570824524312896,0.9824198552223371
10,E09000010,Enfield,1.7964071856287427,1.8115942028985508,1.4830508474576272,1.3850415512465373,1.3351134846461947,1.3071895424836601,1.191969887076537,1.1336515513126493,1.062573789846517,1.072705601907032,1.0600706713780919,0.9815242494226328,0.8493771234428086,0.8859357696567,0.866738894907909,0.7970244420828906,0.6792058516196448
11,E09000011,Greenwich,1.6812865497076022,1.635846372688478,1.4542936288088641,1.4986376021798364,1.381578947368421,1.29366106080207,1.1180124223602483,1.1848341232227488,0.9953161592505854,1.0600706713780919,0.9918319719953326,0.9703196347031964,0.9561304836895388,0.9371554575523704,0.9139784946236559,0.7383966244725738,0.7804370447450573
12,E09000012,Hackney,2.134986225895317,2.072192513368984,1.7786561264822134,1.7601043024771839,1.7110266159695817,1.6229712858926344,1.5096618357487923,1.5151515151515151,1.441753171856978,1.3793103448275863,1.4269406392694064,1.5168539325842696,1.6111111111111112,1.6339869281045751,1.659528907922912,1.6789087093389297,1.8097207859358841
13,E09000013,Hammersmith and Fulham,1.970108695652174,1.7739816031537452,1.6861219195849548,1.7532467532467533,1.7329910141206675,1.78343949044586,1.7262638717632555,1.6033254156769596,1.4637002341920373,1.4002333722287048,1.3872832369942196,1.3636363636363635,1.4108352144469527,1.2721238938053097,1.1475409836065573,1.1254019292604502,1.094890510948905
14,E09000014,Haringey,1.635846372688478,1.664355062413315,1.371742112482853,1.4246947082767978,1.3175230566534912,1.0996119016817594,0.997506234413965,0.9512485136741975,0.9501187648456056,0.8992805755395683,0.947867298578199,0.9259259259259258,0.7990867579908676,0.7751937984496124,0.8620689655172414,0.7886435331230285,0.7253886010362695
15,E09000015,Harrow,1.1078286558345642,1.1510791366906474,0.991501416430595,0.9776536312849162,0.9472259810554803,0.8632138114209827,0.7042253521126761,0.7308160779537151,0.6594724220623501,0.7237635705669481,0.6524317912218268,0.6387921022067364,0.6864988558352403,0.6131549609810479,0.596529284164859,0.5832449628844115,0.47071129707112974
16,E09000016,Havering,1.2820512820512822,1.313868613138686,1.1347517730496455,1.1627906976744187,1.0624169986719787,1.019108280254777,1.0025062656641603,0.9626955475330927,0.935672514619883,0.9615384615384615,0.8896797153024911,0.8710801393728224,0.7420091324200914,0.7262569832402235,0.7088331515812432,0.6907545164718385,0.6289308176100629
17,E09000017,Hillingdon,1.5938606847697756,1.6091954022988506,1.5011547344110856,1.5938606847697756,1.601423487544484,1.670792079207921,1.649746192893401,1.4184397163120568,1.4035087719298245,1.2396694214876032,1.2411347517730498,1.301775147928994,1.2237762237762237,1.0770975056689343,0.9947643979057592,0.9375,0.8753861997940269
