,Area code,Area name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
156,S12000023,Orkney Islands,15325,16445,17565,18633,18694,20275,22146,23724,23694,24383,25888,25579,25940,27680,28349,27307,27905,28786,28104,28111,26384,28011,25097,27301
157,S12000027,Shetland Islands,18515,19352,19569,20770,21122,22305,24413,25519,26766,27090,28907,30630,30660,32987,33328,34878,37206,34990,34126,36622,36460,38646,35791,37694
158,Not available,South of Scotland,14059,14431,15146,15944,16391,17080,17727,18519,19411,19580,20463,19835,19876,20730,21183,22230,23702,23747,24192,25062,25647,26537,25191,26401
159,S12000006,Dumfries and Galloway,14297,14911,15877,16862,17265,18011,18946,19717,20667,20839,21898,21228,21147,22105,22571,23822,25094,25045,25676,26742,26980,28115,26363,27352
160,S12000026,Scottish Borders,13726,13760,14132,14674,15189,15810,16070,16893,17714,17894,18553,17980,18186,18903,19342,20130,21871,22044,22255,22883,23927,24504,23683,25182
161,Not available,Forth Valley Region,15492,15714,16352,17070,17695,18998,20045,21068,22108,22903,23601,23177,23257,23317,23538,24405,25128,25573,25801,26575,27388,28935,27340,29887
162,S12000005,Clackmannanshire,10480,11018,11399,11486,12058,12889,13587,14316,15301,16073,16398,15869,15838,16434,16579,16944,18769,19533,20621,20764,22900,24011,23492,24818
163,S12000030,Stirling,16942,17536,18480,19773,20526,22098,23321,24566,25258,27060,26811,26993,26411,26763,27436,28585,28639,28096,28060,29551,29150,31434,29327,31724
164,S12000014,Falkirk,16325,16203,16734,17314,17874,19163,20245,21241,22503,22759,24153,23412,23891,23594,23552,24413,25154,26053,26141,26694,27791,29049,27405,30445
165,Not available,Tay Cities Region,13655,13761,14262,14702,15440,16336,17019,17658,19081,19703,20122,19690,19854,20283,21028,21992,22886,23395,23878,24358,24765,25575,23982,26034
166,S12000041,Angus,11274,11585,12095,12425,12789,13553,13635,14241,15653,16170,16423,15717,16004,16402,16872,17685,18759,18381,19477,19652,20891,22106,19695,21193
167,S12000042,Dundee City,13823,14148,15326,16075,16912,18171,19256,19863,20545,21352,21593,21365,21645,22452,22910,23423,24118,24673,24859,25413,25967,26936,25683,27850
168,S12000047,Fife,12775,13014,13457,13809,14417,15058,15789,16377,17688,18278,18965,18114,18501,18747,19247,19994,20852,21300,21931,22440,22533,23218,22355,24644
169,S12000048,Perth and Kinross,17676,17018,16930,17366,18658,19919,20580,21418,23914,24487,24512,25112,24481,24998,26831,28909,29914,31183,31102,31658,32040,32685,29589,31332
170,Not available,Highlands and Islands,13853,14568,15135,15817,16127,17435,18724,19763,20426,20997,22016,21636,22344,23459,24046,24794,25557,25635,25981,27711,28177,29234,26822,28850
171,S12000013,Na h-Eileanan Siar,10510,11437,11954,13060,13273,14433,15630,16333,16989,17315,18359,17798,18839,19670,20006,19923,20662,20552,20615,21527,22473,24242,23383,25125
172,S12000017,Highland,14323,15079,15677,16337,16610,18026,19354,20265,20782,21198,21725,21020,22144,23266,24002,25178,26131,26363,26970,28680,29448,30321,27553,29785
173,S12000020,Moray,13592,14036,14473,14752,15161,16312,17126,17924,19046,19963,21762,21550,21643,22584,22356,23084,23227,23483,23477,25585,26178,26737,24968,26716
174,S12000023,Orkney Islands,15325,16445,17565,18633,18694,20275,22146,23724,23694,24383,25888,25579,25940,27680,28349,27307,27905,28786,28104,28111,26384,28011,25097,27301
175,S12000027,Shetland Islands,18515,19352,19569,20770,21122,22305,24413,25519,26766,27090,28907,30630,30660,32987,33328,34878,37206,34990,34126,36622,36460,38646,35791,37694
176,S12000035,Argyll and Bute,12563,13266,13860,14658,15019,16242,17582,19110,19682,20376,21507,21260,21672,22554,23707,23855,24405,24341,25033,26881,26950,28397,26005,27858
177,N34000001,Belfast City Region,14378,15268,16390,17045,17608,18893,19740,20649,21672,22414,22563,22193,22064,22582,23355,23871,24375,25354,26337,27239,27589,28720,27502,29333
178,N09000001,Antrim and Newtownabbey,14453,15241,16280,17075,17545,18327,18988,19618,20705,21688,21196,20124,20627,21315,21709,21809,22960,23705,24747,25718,26106,27388,26411,26851
179,N09000011,Ards and North Down,8706,9149,9671,10099,10452,11158,11457,12185,12881,13291,13378,12622,12694,13251,13541,13290,13816,13925,15114,15757,16295,16920,16053,16316
180,N09000003,Belfast,18008,19418,20915,22241,23187,25592,27079,28735,30250,31610,31863,31669,31101,32088,32663,33929,34395,35581,38029,40120,41274,42622,40892,45085
181,N09000007,Lisburn and Castlereagh,13235,14049,15062,15941,16352,17480,17906,18859,19822,20493,20272,19581,19663,20099,21028,21561,22069,23007,24121,24525,25589,26955,25742,26911
182,N09000008,Mid and East Antrim,16938,17722,19185,18532,18993,19470,20543,20527,21285,21451,22439,23775,23408,22453,25024,24782,24087,26627,23762,23014,20157,21076,20256,21620
183,N09000010,"Newry, Mourne and Down",10468,11034,11887,12332,12639,13443,13937,14640,15344,15604,15758,14921,14998,15729,16204,16874,17817,18179,19095,19650,20199,21256,20310,21077
184,N34000002,Derry-Londonderry City Region,10553,11025,11469,11928,12292,13710,14055,15258,16341,16374,16840,16603,16571,17110,17716,18136,18428,18734,20059,21004,21456,22924,22809,24125
185,N09000005,Derry City and Strabane,10553,11025,11469,11928,12292,13710,14055,15258,16341,16374,16840,16603,16571,17110,17716,18136,18428,18734,20059,21004,21456,22924,22809,24125
186,Not available,Mid South West Growth Deal,12605,13317,14230,14799,15105,16205,16785,17725,18537,19096,18646,17414,17802,18099,18484,19130,19929,20427,21480,22070,23263,24366,23366,25272
187,N09000002,"Armagh City, Banbridge and Craigavon",11320,11928,12598,13274,13561,14332,14876,15561,16301,17043,16843,15994,16303,16709,16940,17819,18457,18970,20115,20551,21481,22313,21387,22711
188,N09000009,Mid Ulster,14905,15836,17237,17669,17899,19558,20067,21111,21898,22404,21293,19100,19994,20154,20356,21647,22517,23233,24178,24701,26531,28192,26497,29257
189,N09000006,Fermanagh and Omagh,12134,12762,13544,14103,14525,15540,16254,17498,18441,18709,18604,17863,17770,18038,18918,18353,19344,19546,20572,21527,22404,23305,23056,24938
190,Not available,Causeway Coast and Glens Growth Deal,10167,10803,11790,11818,12162,13066,13439,14155,15010,15384,15338,14671,15068,15753,16040,16243,16513,16525,17888,18307,18289,18854,17983,19539
191,N09000004,Causeway Coast and Glens,10167,10803,11790,11818,12162,13066,13439,14155,15010,15384,15338,14671,15068,15753,16040,16243,16513,16525,17888,18307,18289,18854,17983,19539
