,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,City of London,0.002769230769230769,0.002909647779479326,0.002823179791976226,0.0024509803921568627,0.002465753424657534,0.0021794871794871794,0.002751677852348993,0.002513586956521739,0.0021377672209026127,0.0022439585730724973,0.0021396396396396395,0.0023321956769055746,0.002494577006507592,0.0026984126984126986,0.002848101265822785,0.002803738317757009,0.0030349794238683126
2,Barking and Dagenham,0.0004484304932735426,0.0004329004329004329,0.000425531914893617,0.0004908835904628332,0.00047879616963064295,0.0004761904761904762,0.00046666666666666666,0.0004605263157894737,0.0003787878787878788,0.0003667481662591687,0.0003717472118959108,0.00047789725209080046,0.0004592422502870264,0.0004018369690011481,0.0005061867266591676,0.00042918454935622315,0.0003691983122362869
3,Barnet,0.0030873493975903613,0.0028467153284671533,0.002849002849002849,0.002793296089385475,0.002699055330634278,0.002642007926023778,0.0025982256020278833,0.00234093637454982,0.002491103202846975,0.002581032412965186,0.002428909952606635,0.002713625866050808,0.002834467120181406,0.0026402640264026403,0.002730192719486081,0.002568134171907757,0.0027950310559006213
4,Bexley,0.001287878787878788,0.001176470588235294,0.001083815028901734,0.0011299435028248588,0.001153324287652646,0.001251646903820817,0.0012055837563451778,0.0011445783132530121,0.0010613207547169811,0.0011390887290167865,0.0011150234741784037,0.0011904761904761906,0.0011692650334075723,0.0011375947995666306,0.0010638297872340426,0.0011591148577449948,0.0011363636363636363
5,Brent,0.0017569546120058566,0.001783166904422254,0.0018207282913165266,0.0016574585635359116,0.0016846361185983828,0.0019333333333333333,0.0019871794871794872,0.001715686274509804,0.001751207729468599,0.0018181818181818182,0.0018562874251497007,0.0019320843091334896,0.00195852534562212,0.0018602029312288614,0.0020174482006543077,0.002136752136752137,0.001991614255765199
6,Bromley,0.002255054432348367,0.0022522522522522522,0.0021994134897360706,0.002217453505007153,0.0022727272727272726,0.0023458445040214475,0.0021400778210116734,0.0020446096654275093,0.0020581113801452786,0.002134146341463415,0.0019207683073229293,0.002102803738317757,0.0021142857142857144,0.001997780244173141,0.001948051948051948,0.0020169851380042463,0.0020898641588296763
7,Camden,0.006515373352855051,0.0059691011235955055,0.005593922651933702,0.00548780487804878,0.005870712401055409,0.0055627425614489,0.005506883604505632,0.0050181378476420796,0.00481786133960047,0.005110336817653891,0.005109070034443169,0.0052780930760499434,0.0053872053872053875,0.005604395604395605,0.0061279826464208246,0.0060767590618336885,0.00625
8,Croydon,0.0020655270655270657,0.0020833333333333333,0.002162162162162162,0.0020077720207253885,0.0020939086294416245,0.002038369304556355,0.00212378640776699,0.0019002375296912114,0.0018390804597701149,0.001817116060961313,0.001956271576524741,0.0018602029312288614,0.0017051705170517053,0.001673866090712743,0.0018597236981934113,0.0019290928050052138,0.0021112255406797115
9,Ealing,0.0020953757225433524,0.002180028129395218,0.0022130013831258644,0.002111716621253406,0.002055702917771883,0.0019710906701708277,0.0020859671302149176,0.001990349819059107,0.001893491124260355,0.001948051948051948,0.0018669778296382731,0.002002288329519451,0.001851851851851852,0.0019294377067254685,0.0020364415862808146,0.0020084566596194502,0.0019648397104446744
10,Enfield,0.0017964071856287425,0.0016666666666666668,0.0016242937853107344,0.0017313019390581717,0.0015353805073431241,0.0016993464052287581,0.0016938519447929736,0.0015513126491646777,0.0014757969303423849,0.0015494636471990466,0.0016489988221436984,0.0015588914549653579,0.0014156285390713476,0.001495016611295681,0.0016793066088840736,0.001647183846971307,0.001567398119122257
11,Greenwich,0.0010233918128654971,0.0010668563300142249,0.0009002770083102493,0.0010217983651226157,0.0009210526315789473,0.0009702457956015524,0.0011180124223602484,0.0011255924170616113,0.001053864168618267,0.001177856301531213,0.0011668611435239206,0.0013698630136986301,0.00140607424071991,0.001323042998897464,0.0013440860215053765,0.0014767932489451476,0.0015088449531737774
12,Hackney,0.0013085399449035812,0.001336898395721925,0.0013175230566534915,0.0014341590612777053,0.001394169835234474,0.00149812734082397,0.0014492753623188406,0.0015151515151515152,0.001384083044982699,0.0014367816091954023,0.0015981735159817352,0.0017977528089887641,0.0018333333333333333,0.00196078431372549,0.002462526766595289,0.002570828961175236,0.0029472595656670113
13,Hammersmith and Fulham,0.002377717391304348,0.0021681997371879105,0.0023346303501945525,0.0025324675324675324,0.0025673940949935813,0.0026114649681528664,0.002527743526510481,0.0023752969121140144,0.0022833723653395786,0.0025087514585764295,0.0026589595375722543,0.0027272727272727275,0.0025395033860045146,0.002820796460176991,0.0028415300546448087,0.002840300107181136,0.002815432742440042
14,Haringey,0.0014935988620199147,0.0013869625520110957,0.001440329218106996,0.001424694708276798,0.0015810276679841897,0.0015523932729624838,0.0014962593516209476,0.001426872770511296,0.0013657957244655582,0.0013788968824940049,0.0013033175355450237,0.001388888888888889,0.0013698630136986301,0.0014396456256921372,0.0017241379310344827,0.001840168243953733,0.0018134715025906736
15,Harrow,0.0014771048744460858,0.0014388489208633094,0.0015580736543909348,0.001536312849162011,0.0016914749661705007,0.0016600265604249668,0.0017285531370038413,0.0015834348355663825,0.001618705035971223,0.0016284680337756332,0.0017200474495848161,0.0017421602787456446,0.0016018306636155606,0.0017279821627647714,0.0016811279826464208,0.0016436903499469778,0.0015690376569037657
16,Havering,0.0011312217194570137,0.0010948905109489052,0.0011347517730496454,0.0010259917920656635,0.0012616201859229747,0.0011464968152866241,0.0011278195488721805,0.001263537906137184,0.0012865497076023392,0.0013822115384615385,0.0011862396204033216,0.0012195121951219512,0.0011986301369863014,0.001229050279329609,0.0013631406761177754,0.001328374070138151,0.0013626834381551363
17,Hillingdon,0.0015348288075560802,0.0014942528735632185,0.001674364896073903,0.0015348288075560802,0.00166073546856465,0.0016089108910891088,0.0017131979695431472,0.0015366430260047282,0.0014619883040935672,0.001652892561983471,0.0015957446808510637,0.0017751479289940828,0.0017482517482517483,0.0018140589569160999,0.001675392670157068,0.0016145833333333333,0.0016992790937178166
18,Hounslow,0.00116580310880829,0.0011378002528445006,0.0010625,0.0011166253101736973,0.0012899262899262898,0.0013496932515337423,0.0013674197384066587,0.001388888888888889,0.001292134831460674,0.0012721238938053097,0.001211453744493392,0.001326963906581741,0.001325556733828208,0.0013555787278415016,0.0014543630892678034,0.0014028056112224449,0.0015015015015015015
19,Islington,0.002173913043478261,0.00221752903907075,0.0022340425531914895,0.0022921108742004264,0.002478902953586498,0.0025816649104320336,0.0026041666666666665,0.0025,0.0024598393574297188,0.0024747474747474746,0.002553626149131767,0.0027720739219712527,0.0027522935779816515,0.0028513238289205704,0.0032619775739041795,0.0034517766497461928,0.0037260825780463243
20,Kensington and Chelsea,0.0052407932011331445,0.005226960110041265,0.00494579945799458,0.004986522911051213,0.004934210526315789,0.0045336787564766836,0.0045682102628285355,0.003942652329749104,0.004141656662665066,0.004523522316043426,0.004270462633451958,0.004219653179190751,0.00429553264604811,0.004152823920265781,0.004175704989154013,0.00423728813559322,0.0041753653444676405
22,Lambeth,0.0023391812865497076,0.002397743300423131,0.002407152682255846,0.0023744911804613297,0.0024765729585006693,0.002447089947089947,0.002402022756005057,0.002386780905752754,0.0020858164481525627,0.002155688622754491,0.0021608643457382954,0.002485207100591716,0.0025116822429906544,0.0029344073647871115,0.002924634420697413,0.003125,0.0031483457844183565
23,Lewisham,0.0010819165378670788,0.001195814648729447,0.0011611030478955006,0.0011347517730496454,0.0012295081967213116,0.0011936339522546418,0.0011553273427471118,0.001040391676866585,0.001075268817204301,0.001075268817204301,0.0010638297872340426,0.0012195121951219512,0.001082004555808656,0.0012141280353200883,0.0012903225806451613,0.0014721345951629863,0.001352757544224766
